Giorno	Entrata1	Uscita1	Entrata2	Uscita2	OreOrdinarie	OreStraordinarie	Festivo	Note
1					0.00	0.00	NO	
2					0.00	0.00	NO	
3					0.00	0.00	NO	
4					0.00	0.00	NO	
5					0.00	0.00	NO	
6					0.00	0.00	NO	
7					0.00	0.00	NO	
8					0.00	0.00	NO	
9					0.00	0.00	NO	
10					0.00	0.00	NO	
11	22:40	22:40	22:40	22:40	0.00	0.00	NO	
11	22:40	22:40			0.00	0.00	NO	
12					0.00	0.00	NO	
13					0.00	0.00	NO	
14					0.00	0.00	NO	
15					0.00	0.00	NO	
16					0.00	0.00	NO	
17					0.00	0.00	NO	
18					0.00	0.00	NO	
19					0.00	0.00	NO	
20					0.00	0.00	NO	
21					0.00	0.00	NO	
22					0.00	0.00	NO	
23					0.00	0.00	NO	
24					0.00	0.00	NO	
25					0.00	0.00	NO	
26					0.00	0.00	NO	
27					0.00	0.00	NO	
28					0.00	0.00	NO	
29					0.00	0.00	NO	
30					0.00	0.00	NO	
31					0.00	0.00	NO	
